,Id,Status_x,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals_x,Use Case_Corporate Events_x,Use Case_Educational Seminars_x,Use Case_Not_Specified_x,Use Case_Sports Events_x,Use Case_Wedding Planning_x,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status_y,Price,Days,Discount,Use Case_Concerts and festivals_y,Use Case_Corporate Events_y,Use Case_Educational Seminars_y,Use Case_Not_Specified_y,Use Case_Sports Events_y,Use Case_Wedding Planning_y,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
0,su014jpj,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,False,True,False,False,False,True,False,False,10,17,Closed Lost,240,-255,False,False,False,True,False,False,False,False,False,False,True,False
1,uo3alag3,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,17,Closed Lost,200,0,False,False,True,False,False,False,False,False,True,False,False,False
3,387283th,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,10,17,Closed Won,240,0,True,False,False,False,False,True,False,False,False,True,False,False
4,ipkk8eiv,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,1,1,Closed Lost,360,170,True,False,True,False,False,False,False,False,False,True,False,False
5,w5p6onkh,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,False,True,False,True,False,False,3,29,Closed Lost,750,0,False,False,False,False,False,True,False,False,False,True,False,False
6,ua7ki037,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,False,True,False,False,False,True,False,False,4,28,Closed Lost,240,-102,False,False,False,True,False,False,False,False,False,True,False,False
7,8ge3bzi2,Qualified,0,0,0,0,0,1,True,0,1,1,1,0,False,True,False,False,False,False,True,False,False,1,1,Closed Lost,360,163,False,False,True,False,False,False,False,False,False,False,True,False
8,nx3m9rfb,Qualified,0,0,0,0,0,1,True,0,1,0,1,0,False,True,False,False,False,False,True,False,False,1,1,Closed Won,32396,0,True,False,True,False,False,False,False,False,False,False,True,False
9,jze59nus,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,False,True,False,False,False,True,False,False,1,1,Closed Lost,324,161,False,False,False,True,False,False,False,False,False,False,True,False
11,7vyed7up,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,False,False,True,1,1,Closed Won,450,62,True,False,True,False,False,False,False,False,False,True,False,False
12,qksapoqf,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,True,False,False,False,False,True,False,False,1,1,Closed Won,240,31,True,False,True,False,False,False,False,False,False,True,False,False
13,ve0fw3ka,Qualified,0,0,0,0,0,1,True,1,0,0,0,0,False,True,False,False,False,False,True,False,False,1,1,Closed Won,450,31,True,False,True,False,False,False,False,False,False,True,False,False
14,8kn5nzgu,Qualified,0,0,0,0,0,1,True,0,1,0,0,0,False,False,False,False,True,False,True,False,False,4,28,Closed Won,1344,8,True,False,False,False,False,True,False,False,False,True,False,False
16,9isd1owj,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,10,19,Closed Lost,2400,-15,True,False,True,False,False,False,False,False,False,True,False,False
17,ssjholxd,Qualified,0,0,0,0,0,1,True,1,0,0,0,1,False,False,True,False,False,False,True,False,False,10,19,Closed Lost,200,34,False,False,False,True,False,False,False,False,False,True,False,False
18,5jb54fhb,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,19,Closed Won,360,0,True,False,True,False,False,False,False,False,False,True,False,False
19,9q3rpupz,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,False,True,False,False,True,False,False,10,19,Closed Won,150,0,True,False,False,False,True,False,False,False,False,True,False,False
20,2gd3188q,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,True,False,False,False,False,True,False,False,1,1,Closed Lost,200,0,False,False,True,False,False,False,False,False,False,False,True,False
21,4cs3e3kr,Qualified,0,0,0,0,0,1,True,0,0,1,1,1,False,False,True,False,False,False,True,False,False,10,20,Closed Lost,324,34,True,False,False,True,False,False,False,False,False,False,False,True
22,aneyhxgl,Qualified,0,0,0,0,0,1,True,1,0,0,0,1,False,True,False,False,False,False,True,False,False,5,29,Closed Lost,768,-111,False,False,True,False,False,False,False,False,False,True,False,False
23,0ym95bg6,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,20,Closed Lost,200,255,False,False,True,False,False,False,False,False,False,True,False,False
25,vtx1azw1,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,True,False,False,False,False,True,False,False,10,20,Closed Won,1344,0,True,False,True,False,False,False,False,False,False,True,False,False
26,0rqnl52f,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,False,False,True,False,False,False,True,1,1,Closed Lost,360,79,False,False,False,False,False,True,False,False,False,True,False,False
27,d2wjghy9,Qualified,0,0,0,0,0,1,True,1,0,0,1,1,False,True,False,False,False,False,True,False,False,10,20,Closed Won,240,0,True,False,True,False,False,False,False,False,False,True,False,False
28,czdvsc6d,Qualified,0,0,0,0,0,1,True,1,0,0,0,0,False,True,False,False,False,False,True,False,False,10,20,Closed Lost,240,33,False,False,True,False,False,False,False,False,False,True,False,False
29,ps2kwwpl,Qualified,0,0,0,0,0,1,True,0,0,1,0,0,False,True,False,False,False,False,True,False,False,10,20,Closed Won,768,0,True,False,True,False,False,False,False,False,False,True,False,False
30,tmbcqvqg,Qualified,0,0,0,0,0,1,True,1,0,1,0,1,False,True,False,False,False,False,True,False,False,5,29,Closed Won,240,31,True,False,True,False,False,False,False,False,False,True,False,False
31,ztm4i93c,Qualified,0,0,0,0,0,1,True,0,1,0,1,1,False,False,True,False,False,False,True,False,False,6,28,Closed Won,360,0,True,False,False,True,False,False,False,False,False,False,True,False
32,5faa4dlw,Qualified,0,0,0,0,0,1,True,0,0,0,0,1,False,False,True,False,False,False,True,False,False,10,20,Closed Won,576,0,True,False,False,True,False,False,False,False,False,False,True,False
33,khbgcdju,Qualified,0,0,0,0,0,1,True,0,0,0,1,1,False,False,True,False,False,False,True,False,False,10,20,Closed Won,1500,0,True,False,False,True,False,False,False,False,False,True,False,False
