Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day
23okrabh,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,26
hbzt0kp1,0,0,0,0,0,1,False,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,29
velluwdq,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,26
vwm9vcdc,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,3,29
kbfjr4vz,0,0,0,0,0,1,False,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,29
su014jpj,0,0,0,0,0,1,True,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10,17
1sqjzh1n,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,29
tj24u1op,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,5,26
0u8prqqe,0,0,0,0,0,1,False,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,29
vhio5dmx,0,0,0,0,1,0,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,29
ywgrcgoi,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
henws78r,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,17
meg0fk0h,0,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,29
54qsircu,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
uo3alag3,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,17
qr9pl81g,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,29
ps39rm18,0,0,0,0,0,1,False,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
fzo8lyur,0,0,0,0,0,1,False,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,29
yexf0pdo,0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
wes0qzke,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,17
szuxdaw9,0,0,0,0,0,1,False,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,29
wg048onx,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,29
2exqos94,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
csl917kg,0,0,0,0,0,1,False,0,1,0,1,1,0,1,0,0,0,0,1,0,0,3,29
i111haoj,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,17
8omf4odw,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,29
g6emao6t,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,17
ow754ynf,0,0,0,0,1,0,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,29
umu0rdsw,0,0,0,0,0,1,False,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
eaxcqbdg,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,17
52m0mquk,0,0,0,0,1,0,False,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,29
c0csrzx6,0,0,0,0,0,1,False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,10,17
ge37zmt9,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,29
387283th,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,17
f46lg31k,0,0,0,0,0,1,False,0,0,0,1,1,0,0,0,1,0,0,1,0,0,3,29
e4zzgixm,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
b3tg5exb,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,17
uc82tbwl,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,29
ipkk8eiv,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
59r3gp5g,0,0,0,0,0,1,False,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,17
w5p6onkh,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,29
upmelfel,0,0,0,0,0,1,False,0,1,1,0,1,0,1,0,0,0,0,1,0,0,10,17
1akb9ya7,0,0,0,0,1,0,False,0,1,1,1,0,0,1,0,0,0,0,1,0,0,3,29
28s4gp30,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1
ypqmgyve,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,29
72w9wsno,0,0,0,0,0,1,False,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
883uq3ax,0,0,0,0,0,1,False,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10,17
6p5tgkky,0,0,0,0,1,0,False,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,29
8n9vq85t,0,0,0,0,1,0,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
1n26yh82,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
jfeasy8c,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,17
affezu0c,0,0,0,0,0,1,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
qpj7yg9h,0,0,0,0,0,1,False,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
bzxvrkk6,0,0,0,0,0,1,False,1,0,0,0,0,0,0,0,1,0,0,1,0,0,10,18
rrep07lv,0,0,0,0,1,0,False,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,28
tfmb5lh0,0,0,0,0,0,1,False,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
ua7ki037,0,0,0,0,0,1,True,0,0,1,1,1,0,0,1,0,0,0,1,0,0,4,28
28y8irv7,0,0,0,0,0,1,False,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
bu99hfx1,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
xw3yvixs,0,0,0,0,1,0,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
42dpftoa,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
1n9o3jju,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,18
kns65abj,0,0,0,0,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,28
ro2u71jy,0,0,0,0,0,1,False,0,0,0,1,0,0,0,0,1,0,0,1,0,0,10,18
4h3ror36,0,0,0,0,0,1,False,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,28
8ge3bzi2,0,0,0,0,0,1,True,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
bxvfvy76,0,0,0,0,0,1,False,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,18
