Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
su014jpj,0,0,0,0,0,1,True,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10,17,Closed Lost,240,-255,True,0,0,0,1,0
uo3alag3,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,17,Closed Lost,200,0,True,0,1,0,0,0
2exqos94,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,Checkbox,960,0,False,1,0,0,0,0
387283th,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,17,Closed Won,240,0,False,0,0,1,0,0
ipkk8eiv,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,Closed Lost,360,170,False,0,0,1,0,0
w5p6onkh,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,29,Closed Lost,750,0,True,0,0,1,0,0
ua7ki037,0,0,0,0,0,1,True,0,0,1,1,1,0,0,1,0,0,0,1,0,0,4,28,Closed Lost,240,-102,True,0,0,1,0,0
8ge3bzi2,0,0,0,0,0,1,True,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,Closed Lost,360,163,True,0,0,0,1,0
nx3m9rfb,0,0,0,0,0,1,True,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,Closed Won,32396,0,False,0,0,0,1,0
jze59nus,0,0,0,0,0,1,True,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,Closed Lost,324,161,True,0,0,0,1,0
utk3g19f,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,Checkbox,768,0,False,0,1,0,0,0
7vyed7up,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,Closed Won,450,62,False,0,0,1,0,0
qksapoqf,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,Closed Won,240,31,False,0,0,1,0,0
ve0fw3ka,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,Closed Won,450,31,False,0,0,1,0,0
8kn5nzgu,0,0,0,0,0,1,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,28,Closed Won,1344,8,False,0,0,1,0,0
gjc5p935,0,0,0,0,0,1,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,19,Negotiation,57694,0,False,0,0,0,0,1
9isd1owj,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,19,Closed Lost,2400,-15,False,0,0,1,0,0
ssjholxd,0,0,0,0,0,1,True,1,0,0,0,1,0,0,1,0,0,0,1,0,0,10,19,Closed Lost,200,34,True,0,0,1,0,0
5jb54fhb,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,19,Closed Won,360,0,False,0,0,1,0,0
9q3rpupz,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,1,0,0,1,0,0,10,19,Closed Won,150,0,False,0,0,1,0,0
2gd3188q,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,Closed Lost,200,0,True,0,0,0,1,0
4cs3e3kr,0,0,0,0,0,1,True,0,0,1,1,1,0,0,1,0,0,0,1,0,0,10,20,Closed Lost,324,34,False,0,0,0,0,1
aneyhxgl,0,0,0,0,0,1,True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,5,29,Closed Lost,768,-111,True,0,0,1,0,0
