Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason
doqyhjtv,Educational Seminars,Closed Won,2019-11-17,2019-11-17,300.0,SAVEMORE50,operations,Not_Specified
cturqi48,Corporate Events,Closed Won,2019-05-07,2019-05-07,240.0,DISCOUNT50POWER,financial control,Not_Specified
9pl1etry,Corporate Events,Closed Won,2019-12-18,2019-12-18,768.0,2SEMESTERS20OFF,operations,Not_Specified
7tkbogep,Corporate Events,Closed Won,2019-11-18,2019-11-18,300.0,MONTH50CUTBACK,operations,Not_Specified
locj094j,Corporate Events,Closed Won,2019-11-18,2019-11-19,300.0,MONTH50CUTBACK,quality of delivery,Not_Specified
5eksx79k,Sports Events,Closed Won,2019-11-20,2019-11-20,120.0,HALFYEAR20G,financial control,Not_Specified
0xm8ezpj,Educational Seminars,Closed Won,2019-12-08,2019-12-09,1344.0,ANNUAL30BONUS,financial control,Not_Specified
xb6toen7,Educational Seminars,Closed Lost,2019-12-10,2019-12-16,1344.0,ANNUAL30BONUS,financial control,no product fit
lx9pv613,Educational Seminars,Closed Won,2019-12-15,2019-12-18,960.0,YEARLY60,operations,Not_Specified
iua7p276,Educational Seminars,Closed Won,2019-08-06,2019-12-16,300.0,SAVEMORE50,operations,Not_Specified
o3mh2glp,Corporate Events,Demo 1,2019-11-11,2020-01-26,240.0,MONTH50REBATE,operations,Not_Specified
9i1sfcw2,Corporate Events,Closed Won,2019-11-13,2019-07-07,240.0,MONTH50REBATE,operations,Not_Specified
rdq3yd3z,Corporate Events,Closed Won,2019-11-09,2019-11-10,300.0,MONTH50CUTBACK,operations,Not_Specified
plc6ykua,Corporate Events,Closed Won,2019-11-16,2019-11-16,360.0,SAVE25LESS,operations,Not_Specified
3n4vaopa,Corporate Events,Closed Lost,2019-11-16,2019-11-25,360.0,MONTHSAVE25DEAL,quality of delivery,no response
heil7stb,Educational Seminars,Closed Won,2019-11-16,2019-11-16,120.0,NOCOSTREG,financial control,Not_Specified
njljf14m,Corporate Events,Closed Won,2019-11-16,2019-11-16,240.0,MONTH50REBATE,Not_Specified,Not_Specified
kjisr59o,Corporate Events,Closed Won,2019-11-16,2019-11-17,360.0,MONTHSAVE25DEAL,financial control,Not_Specified
f071ur84,Corporate Events,Closed Won,2019-11-17,2019-11-17,768.0,2SEMESTERS20OFF,operations,Not_Specified
8ezl9b9h,Educational Seminars,Closed Lost,2019-11-11,2019-11-24,500.0,Not_Specified,quality of delivery,price
uslx2c8c,Corporate Events,Closed Lost,2019-11-17,2019-11-18,360.0,MONTHSAVE25DEAL,financial control,lost to competitor
gggo1zge,Corporate Events,Demo 1,2019-11-19,2020-01-26,Not_Specified,Not_Specified,Not_Specified,Not_Specified
oi8pyr0x,Corporate Events,Closed Won,2019-08-06,2019-08-06,600.0,Not_Specified,Not_Specified,Not_Specified
b65b1g3z,Corporate Events,Closed Won,2019-12-18,2019-12-18,960.0,ANNUAL60DEAL,operations,Not_Specified
yhc6yuwu,Sports Events,Closed Won,2019-09-06,2019-10-06,768.0,HALFYEAR20G,quality of delivery,Not_Specified
c1n3we27,Sports Events,Demo 1,2019-10-06,2020-01-26,Not_Specified,Not_Specified,operations,Not_Specified
kvt2gj12,Corporate Events,Closed Won,2019-11-10,2019-11-23,360.0,MONTHSAVE25DEAL,Not_Specified,Not_Specified
jck55wbd,Educational Seminars,Demo 1,2019-11-11,2020-01-26,450.0,QUARTERSAVE25,financial control,Not_Specified
h493pfxh,Educational Seminars,Closed Lost,2019-11-18,2019-11-18,360.0,25GIFT,financial control,no product fit
0wymszvw,Sports Events,Closed Won,2019-09-06,2019-09-06,120.0,GIVEAWAYFREE,Not_Specified,Not_Specified
e3gleq5r,Corporate Events,Demo 1,2019-12-24,2020-01-26,Not_Specified,Not_Specified,quality of delivery,Not_Specified
68z2e14h,Corporate Events,Closed Won,2019-08-06,2019-09-06,1344.0,YEARLY30PROMO,operations,Not_Specified
zcvegu22,Sports Events,Closed Won,2020-03-27,2020-03-27,960.0,YEARLY60,Not_Specified,Not_Specified
afivu0ad,Corporate Events,Closed Won,2019-11-18,2019-02-07,120.0,3QUARTERS75CUT,operations,Not_Specified
osgn4234,Educational Seminars,Negotiation,2020-04-26,2020-04-26,768.0,HALFYEAR20G,Not_Specified,Not_Specified
tkoghufn,Corporate Events,Closed Won,2019-08-06,2019-08-06,1008.0,RENEW30YEARLY,operations,Not_Specified
javll9xi,Corporate Events,Checkbox,2019-12-21,2019-12-21,300.0,MONTH50CUTBACK,Not_Specified,Not_Specified
mhtrpofn,Corporate Events,Closed Lost,2019-11-10,2019-11-10,240.0,DISCOUNT50POWER,financial control,no product fit
zly6yc6x,Educational Seminars,Closed Lost,2019-11-19,2019-11-25,1344.0,ANNUAL30BONUS,quality of delivery,no response
kjhvaa7o,Educational Seminars,Closed Lost,2019-11-19,2019-11-25,240.0,MONTH50REBATE,operations,no response
bi10s29x,Sports Events,Negotiation,2020-08-27,2020-08-27,960.0,YEARLY60,Not_Specified,Not_Specified
dwjfamjd,Corporate Events,Closed Won,2019-01-07,2019-01-07,768.0,2SEMESTERS20OFF,financial control,Not_Specified
w9ufwx5o,Educational Seminars,Closed Won,2019-12-14,2019-12-18,300.0,SAVEMORE50,operations,Not_Specified
6mrt4tlu,Corporate Events,Closed Won,2019-12-22,2019-12-22,1344.0,YEARLY30PROMO,Not_Specified,Not_Specified
xhkfife6,Corporate Events,Closed Won,2019-11-17,2019-11-17,360.0,MONTHSAVE25DEAL,operations,Not_Specified
