Id,Status,Price,Days,Discount,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
doqyhjtv,Closed Won,300,0,False,0,0,1,0,0,0,0,0,1,0,0
cturqi48,Closed Won,240,0,False,0,1,0,0,0,0,0,1,0,0,0
9pl1etry,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
7tkbogep,Closed Won,300,0,False,0,1,0,0,0,0,0,0,1,0,0
locj094j,Closed Won,300,1,False,0,1,0,0,0,0,0,0,0,1,0
5eksx79k,Closed Won,120,0,False,0,0,0,0,1,0,0,1,0,0,0
0xm8ezpj,Closed Won,1344,1,False,0,0,1,0,0,0,0,1,0,0,0
xb6toen7,Closed Lost,1344,6,False,0,0,1,0,0,0,0,1,0,0,0
lx9pv613,Closed Won,960,3,False,0,0,1,0,0,0,0,0,1,0,0
iua7p276,Closed Won,300,132,False,0,0,1,0,0,0,0,0,1,0,0
o3mh2glp,Demo 1,240,76,False,0,1,0,0,0,0,0,0,1,0,0
9i1sfcw2,Closed Won,240,-129,False,0,1,0,0,0,0,0,0,1,0,0
rdq3yd3z,Closed Won,300,1,False,0,1,0,0,0,0,0,0,1,0,0
plc6ykua,Closed Won,360,0,False,0,1,0,0,0,0,0,0,1,0,0
3n4vaopa,Closed Lost,360,9,False,0,1,0,0,0,0,0,0,0,1,0
heil7stb,Closed Won,120,0,False,0,0,1,0,0,0,0,1,0,0,0
njljf14m,Closed Won,240,0,False,0,1,0,0,0,0,1,0,0,0,0
kjisr59o,Closed Won,360,1,False,0,1,0,0,0,0,0,1,0,0,0
f071ur84,Closed Won,768,0,False,0,1,0,0,0,0,0,0,1,0,0
8ezl9b9h,Closed Lost,500,13,True,0,0,1,0,0,0,0,0,0,1,0
uslx2c8c,Closed Lost,360,1,False,0,1,0,0,0,0,0,1,0,0,0
gggo1zge,Demo 1,0,68,True,0,1,0,0,0,0,1,0,0,0,0
oi8pyr0x,Closed Won,600,0,True,0,1,0,0,0,0,1,0,0,0,0
b65b1g3z,Closed Won,960,0,False,0,1,0,0,0,0,0,0,1,0,0
yhc6yuwu,Closed Won,768,30,False,0,0,0,0,1,0,0,0,0,1,0
c1n3we27,Demo 1,0,112,True,0,0,0,0,1,0,0,0,1,0,0
kvt2gj12,Closed Won,360,13,False,0,1,0,0,0,0,1,0,0,0,0
